HEAD|07-07-2025|Extracted Data
  1, NAB, CBA,0004563.56,20250607
 23, DFR,ADFC,0003421.45,20250608
 23, EWF,RELM,5463486.74,20260622
 57, YGL,UEAL,4144309.13,20250518
 96, BKJ,CHLE,1470189.65,20250426
 31, INV,WMPY,5773060.04,20240229
 29, OLU,CTTJ,3188758.06,20241026
 43, OWK,RELM,8035809.21,20240114
 86, MYS,EJZK,7933421.59,20260213
 66, RJJ,KAWZ,8608819.09,20240710
 86, HCJ,TGNV,1487400.86,20250506
 50, PAD,VCQS,9587184.58,20250522
 65, ZVH, VMW,6357706.54,20250318
 62, HWI, QHP,1143840.13,20261222
 55, RZR, FOA,2939346.87,20260625
  2, GWH, RHG,3182754.91,20260513
 13, OIR, AYB,0670246.23,20260118
 69, UFO, SDE,3260976.93,20250815
 30, ZQX, XYW,1195186.11,20240902
 16, TBA, JAW,4821894.51,20250531
 52, JZG, BCO,3563285.84,20260906
 67, PNJ, DKK,9174951.43,20251103
 41, GFW, PUV,8575625.40,20260426
 75, YIF,RELM,0119682.74,20261102
 28, UJT,ODYJ,9804063.61,20260815
 72, WSR,SHQX,6391685.37,20240908
 33, MFB,AZUW,3763779.70,20251007
 32, UEK,RELM,5466473.18,20241030
 79, HPJ,HSQG,8575228.91,20251231
 41, OWA,RELM,6107257.00,20250914
 71, NAG,BAJP,3704411.67,20260421
 91, VPP,HOIO,4502741.97,20240524
 TAIL|RTGDAXF|gvsfbh
